Year,Month,Country,Mode,TradeType,TradeValue
1993,10,Mexico,Other/Unknown,Export,623853807.0
1993,10,Mexico,Other/Unknown,Unknown,39283814.0
1993,10,Mexico,Pipeline,Unknown,27404710.0
1993,10,Mexico,Rail,Export,214629538.0
1993,10,Mexico,Rail,Unknown,768976932.0
1993,10,Mexico,Truck,Export,2237465112.0
1993,10,Mexico,Truck,Unknown,2416855844.0
1993,11,Canada,Mail (U.S. Postal Service),Export,1250918.0
1993,11,Canada,Mail (U.S. Postal Service),Unknown,410740.0
1993,11,Canada,Other/Unknown,Export,2013044903.0
1993,11,Canada,Other/Unknown,Unknown,234667747.0
1993,11,Canada,Pipeline,Export,5577054.0
1993,11,Canada,Pipeline,Unknown,735661013.0
1993,11,Canada,Rail,Export,1006600692.0
1993,11,Canada,Rail,Unknown,1979496508.0
1993,11,Canada,Truck,Export,6941140960.0
1993,11,Canada,Truck,Unknown,5993264344.0
1993,11,Mexico,Mail (U.S. Postal Service),Unknown,60102.0
1993,11,Mexico,Other/Unknown,Export,924083968.0
1993,11,Mexico,Other/Unknown,Unknown,98155809.0
1993,11,Mexico,Pipeline,Unknown,17575836.0
1993,11,Mexico,Rail,Export,282344802.0
1993,11,Mexico,Rail,Unknown,751781344.0
1993,11,Mexico,Truck,Export,2468668902.0
1993,11,Mexico,Truck,Unknown,2463913215.0
1993,12,Canada,Mail (U.S. Postal Service),Export,764890.0
1993,12,Canada,Mail (U.S. Postal Service),Unknown,399285.0
1993,12,Canada,Other/Unknown,Export,2226928814.0
1993,12,Canada,Other/Unknown,Unknown,310332872.0
1993,12,Canada,Pipeline,Export,6598289.0
1993,12,Canada,Pipeline,Unknown,771630613.0
1993,12,Canada,Rail,Export,837564165.0
1993,12,Canada,Rail,Unknown,1876726476.0
1993,12,Canada,Truck,Export,6260479821.0
1993,12,Canada,Truck,Unknown,5288946835.0
1993,12,Mexico,Mail (U.S. Postal Service),Unknown,95056.0
1993,12,Mexico,Other/Unknown,Export,430252863.0
1993,12,Mexico,Other/Unknown,Unknown,58615832.0
1993,12,Mexico,Pipeline,Unknown,10054934.0
1993,12,Mexico,Rail,Export,278307730.0
1993,12,Mexico,Rail,Unknown,731196182.0
1993,12,Mexico,Truck,Export,2418235578.0
1993,12,Mexico,Truck,Unknown,2134086357.0
1994,1,Canada,Mail (U.S. Postal Service),Export,903219.0
1994,1,Canada,Mail (U.S. Postal Service),Unknown,438324.0
1994,1,Canada,Other/Unknown,Export,2185606360.0
1994,1,Canada,Other/Unknown,Unknown,343473290.0
1994,1,Canada,Pipeline,Export,6541003.0
1994,1,Canada,Pipeline,Unknown,711591025.0
1994,1,Canada,Rail,Export,837504134.0
1994,1,Canada,Rail,Unknown,1683915661.0
1994,1,Canada,Truck,Export,5946870761.0
1994,1,Canada,Truck,Unknown,5431486542.0
1994,1,Mexico,Mail (U.S. Postal Service),Unknown,43107.0
1994,1,Mexico,Other/Unknown,Export,464958920.0
1994,1,Mexico,Other/Unknown,Unknown,31756439.0
1994,1,Mexico,Pipeline,Unknown,2115562.0
1994,1,Mexico,Rail,Export,290627488.0
1994,1,Mexico,Rail,Unknown,531600033.0
1994,1,Mexico,Truck,Export,2752921798.0
1994,1,Mexico,Truck,Unknown,2460814675.0
1994,2,Canada,Mail (U.S. Postal Service),Export,4583123.0
1994,2,Canada,Mail (U.S. Postal Service),Unknown,487058.0
1994,2,Canada,Other/Unknown,Export,1963438836.0
1994,2,Canada,Other/Unknown,Unknown,312464668.0
1994,2,Canada,Pipeline,Export,5899802.0
1994,2,Canada,Pipeline,Unknown,794735674.0
1994,2,Canada,Rail,Export,1026629675.0
1994,2,Canada,Rail,Unknown,1778387767.0
1994,2,Canada,Truck,Export,6336957459.0
1994,2,Canada,Truck,Unknown,5641283481.0
1994,2,Mexico,Mail (U.S. Postal Service),Export,14844.0
1994,2,Mexico,Mail (U.S. Postal Service),Unknown,148760.0
1994,2,Mexico,Other/Unknown,Export,226833830.0
1994,2,Mexico,Other/Unknown,Unknown,28176759.0
1994,2,Mexico,Pipeline,Unknown,10789039.0
1994,2,Mexico,Rail,Export,324550305.0
1994,2,Mexico,Rail,Unknown,590690743.0
1994,2,Mexico,Truck,Export,2774846373.0
1994,2,Mexico,Truck,Unknown,2627124116.0
1994,3,Canada,Mail (U.S. Postal Service),Export,5933814.0
1994,3,Canada,Mail (U.S. Postal Service),Unknown,601317.0
1994,3,Canada,Other/Unknown,Export,2256306318.0
1994,3,Canada,Other/Unknown,Unknown,322578110.0
1994,3,Canada,Pipeline,Export,6743308.0
1994,3,Canada,Pipeline,Unknown,787889763.0
1994,3,Canada,Rail,Export,1336963019.0
1994,3,Canada,Rail,Unknown,2197561713.0
1994,3,Canada,Truck,Export,8069621460.0
1994,3,Canada,Truck,Unknown,6912034172.0
1994,3,Mexico,Mail (U.S. Postal Service),Export,33897.0
1994,3,Mexico,Mail (U.S. Postal Service),Unknown,124587.0
1994,3,Mexico,Other/Unknown,Export,250476230.0
1994,3,Mexico,Other/Unknown,Unknown,34506193.0
1994,3,Mexico,Pipeline,Unknown,20777412.0
1994,3,Mexico,Rail,Export,390421209.0
1994,3,Mexico,Rail,Unknown,666293000.0
1994,3,Mexico,Truck,Export,3325685215.0
1994,3,Mexico,Truck,Unknown,3022052234.0
1994,4,Canada,Mail (U.S. Postal Service),Export,5586175.0
1994,4,Canada,Mail (U.S. Postal Service),Import,5586175.0
1994,4,Canada,Mail (U.S. Postal Service),Unknown,375419.0
1994,4,Canada,Other/Unknown,Export,2053452650.0
1994,4,Canada,Other/Unknown,Import,2053452650.0
1994,4,Canada,Other/Unknown,Unknown,334676171.0
1994,4,Canada,Pipeline,Export,7866562.0
1994,4,Canada,Pipeline,Import,7866562.0
1994,4,Canada,Pipeline,Unknown,740778307.0
1994,4,Canada,Rail,Export,1244810390.0
1994,4,Canada,Rail,Import,1244810390.0
1994,4,Canada,Rail,Unknown,2398560142.0
1994,4,Canada,Truck,Export,7331388809.0
1994,4,Canada,Truck,Import,7331388809.0
1994,4,Canada,Truck,Unknown,6303536858.0
1994,4,Mexico,Mail (U.S. Postal Service),Export,3831422.0
1994,4,Mexico,Mail (U.S. Postal Service),Import,3831422.0
1994,4,Mexico,Mail (U.S. Postal Service),Unknown,165146.0
1994,4,Mexico,Other/Unknown,Export,295259909.0
1994,4,Mexico,Other/Unknown,Import,295259909.0
1994,4,Mexico,Other/Unknown,Unknown,33937649.0
1994,4,Mexico,Pipeline,Export,94226.0
1994,4,Mexico,Pipeline,Import,94226.0
1994,4,Mexico,Pipeline,Unknown,14892749.0
1994,4,Mexico,Rail,Export,349854646.0
1994,4,Mexico,Rail,Import,349834277.0
1994,4,Mexico,Rail,Unknown,599340729.0
1994,4,Mexico,Truck,Export,2834872313.0
1994,4,Mexico,Truck,Import,2834858613.0
1994,4,Mexico,Truck,Unknown,2700102409.0
1994,5,Canada,Mail (U.S. Postal Service),Export,6084114.0
1994,5,Canada,Mail (U.S. Postal Service),Import,6084114.0
1994,5,Canada,Mail (U.S. Postal Service),Unknown,380047.0
1994,5,Canada,Other/Unknown,Export,1911809938.0
1994,5,Canada,Other/Unknown,Import,1911808370.0
1994,5,Canada,Other/Unknown,Unknown,386631111.0
1994,5,Canada,Pipeline,Export,16539503.0
1994,5,Canada,Pipeline,Import,16539503.0
1994,5,Canada,Pipeline,Unknown,759002807.0
1994,5,Canada,Rail,Export,1276585129.0
1994,5,Canada,Rail,Import,1276520052.0
1994,5,Canada,Rail,Unknown,2339901685.0
1994,5,Canada,Truck,Export,7795586458.0
1994,5,Canada,Truck,Import,7795574845.0
1994,5,Canada,Truck,Unknown,6595140160.0
1994,5,Mexico,Mail (U.S. Postal Service),Export,100130.0
1994,5,Mexico,Mail (U.S. Postal Service),Import,100130.0
1994,5,Mexico,Mail (U.S. Postal Service),Unknown,104739.0
1994,5,Mexico,Other/Unknown,Export,218386733.0
1994,5,Mexico,Other/Unknown,Import,218386733.0
1994,5,Mexico,Other/Unknown,Unknown,34811587.0
1994,5,Mexico,Pipeline,Export,54250.0
1994,5,Mexico,Pipeline,Import,54250.0
1994,5,Mexico,Pipeline,Unknown,32142927.0
1994,5,Mexico,Rail,Export,354112568.0
1994,5,Mexico,Rail,Import,354101790.0
1994,5,Mexico,Rail,Unknown,625077700.0
1994,5,Mexico,Truck,Export,3444210585.0
1994,5,Mexico,Truck,Import,3444119396.0
